Number_of_Stations: 5394
Stat_ID    Easting_x    Norting_Y   Altitude  Longitude    Latitude   Bl_ID   Start_Date     End_Date   State   data_avail  geoQualLev   Station_Name 
  00088   4232665.42   5360038.78     400.00    8.39440    48.32260      -9   1988-12-01   2003-12-31      XX       99.46%           9   Alpirsbach_(Klaeranlage)
  00089   4198397.01   5517178.92     146.00    7.81670    49.71670      -9   1951-01-01   1970-12-30      XX      100.00%           5   Alsenz
  00091   4312640.02   5626459.08     300.00    9.34500    50.74460      -9   1978-11-01   2015-12-31      XX       99.77%           3   Alsfeld-Eifa
  00092   4316814.49   5628448.69     395.00    9.40310    50.76380      -9   1931-01-01   1995-11-30      XX       96.92%           9   Alsfeld-Lingelbach
  00093   4306334.53   5629417.60     269.00    9.25420    50.76910      -9   1971-01-01   1999-12-31      XX      100.00%           9   Alsfeld-Reibertenrod
  00094   4454233.25   5908685.81      52.00   11.31330    53.30960      -9   1969-01-01   2005-12-31      XX       99.78%           9   Alt_Krenzlin-Krenzliner_Huette
  00095   4651946.09   5807150.63      62.00   14.23170    52.37800      -9   1969-01-01   2003-12-31      XX       98.58%           9   Alt_Madlitz
  00096   4557947.68   5868565.38      40.00   12.86220    52.94790      -9   1969-01-01   2001-12-31      XX       96.98%           9   Alt_Ruppin
  00097   4666076.27   5813119.57      50.00   14.44200    52.42750      -9   1984-01-01   2005-12-31      XX      100.00%           9   Alt_Zeschdorf
  00099   4448410.34   5771117.29     185.00   11.24750    52.07280      -9   1969-01-01   2002-12-31      XX      100.00%           9   Altbrandsleben
  00100   4640600.43   5725812.66      85.00   14.03180    51.65040      -9   1953-01-01   2005-12-31      XX       99.99%           9   Altdoebern
  00101   4454301.43   5472231.33     423.00   11.37050    49.38640      -9   1931-01-01   2002-05-31      XX       99.54%           9   Altdorf
  00103   4515909.37   5417531.03     364.00   12.21700    48.89600      -9   1978-01-01   2015-12-31      XX       98.90%           3   Hagelstadt
  00104   4199560.98   5692095.30     196.00    7.69220    51.28560      -9   1961-01-01   2006-12-31      XX      100.00%           9   Altena_in_Westfalen
  00105   4143222.71   5606247.77     195.00    6.97120    50.48440      -9   1941-01-01   2015-12-31      XX       95.45%           3   Ahrbrueck
  00107   4391939.67   5741661.29     460.00   10.43330    51.80000      -9   1931-01-01   1981-03-31      XX       96.02%          10   Altenau_(A)
  00108   4398911.18   5745222.16     635.00   10.53330    51.83330      -9   1961-01-01   1995-06-30      XX      100.00%           9   Altenau-Bastesiedlung
  00109   4399156.57   5741644.90     800.00   10.53790    51.80120      -9   1961-01-01   1995-12-31      XX       48.10%           9   Altenau-Torfhaus/Harz
  00110   4190516.49   5777587.47      65.00    7.48730    52.04690      -9   1931-01-01   2015-12-31      XX       97.55%           3   Altenberge
  00111   4426507.19   5732947.90     300.00   10.93620    51.72730      -9   1969-01-01   2006-12-31      XX       99.96%           9   Altenbrak
  00112   4423784.27   5734290.19     430.00   10.89650    51.73900      -9   1969-01-01   2004-12-31      XX       99.77%           9   Altenbrak_(Rappbode_Talsperre_)
  00113   4427951.84   5733950.71     425.00   10.95690    51.73650      -9   1969-01-01   2001-12-31      XX       92.16%           9   Altenbrak-Todtenrode
  00115   4425341.86   5734511.67     353.00   10.91900    51.74120      -9   1969-01-01   2004-12-31      XX       99.29%           9   Altenbrak-Wendefurth
  00117   4409164.51   5603404.32     520.00   10.71790    50.56050      -9   1951-01-01   2007-12-31      XX       99.42%           9   Altendambach
  00118   4520696.21   5474181.64     391.00   12.28520    49.40530      -9   1951-01-01   2015-12-31      XX      100.00%           3   Altendorf
  00119   4548941.15   6016230.89       7.00   12.75140    54.27560      -9   1951-01-01   2005-12-31      XX       99.85%           9   Altenhagen-Starkow
  00120   4615136.04   5865772.98      50.00   13.71180    52.91360      -9   1981-01-01   2005-12-31      XX       99.66%           9   Altenhof
  00121   4190993.25   5624663.23     210.00    7.62700    50.67660      -9   1931-01-01   2007-11-30      XX       97.18%           9   Altenkirchen_(Klaeranlage)
  00122   4407646.18   5891273.60      61.00   10.61950    53.14710      -9   1941-01-01   2006-12-31      XX       96.97%           9   Altenmedingen-Eddelstorf
  00123   4506000.38   5514336.60     470.00   12.08330    49.76670      -9   1978-01-01   1986-02-28      XX      100.00%          10   Altenparkstein
  00124   4470455.68   5678143.10     267.00   11.57690    51.23870      -9   1969-01-01   2015-12-31      XX       99.99%           3   Bibra,_Bad-Altenroda
  00127   4253056.05   5391916.14     594.00    8.65010    48.61710      -9   1931-01-01   2002-12-31      XX       97.22%           9   Altensteig-Wart
  00128   4522140.71   5439691.95     518.00   12.30320    49.09510      -9   1951-01-01   2015-12-31      XX       99.59%           3   Altenthann
  00129   4582038.41   5951436.53      33.00   13.24200    53.68930      -9   1951-01-01   2015-12-31      XX       87.30%           3   Altentreptow
  00130   4339187.80   5512451.91     300.00    9.76920    49.72830      -9   1941-01-01   2015-12-31      XX       98.63%           3   Altertheim-Oberaltertheim
  00131   4565347.87   5661708.30     296.00   12.93280    51.08800      -9   1969-01-01   2015-12-31      XX       97.50%           3   Geringswalde-Altgeringswalde
  00132   4528024.79   5515050.95     750.00   12.38910    49.77250      -9   1953-12-11   1987-09-30      XX      100.00%          10   Altglashuette
  00133   4260931.07   5404806.56     530.00    8.74930    48.73590      -9   1931-01-01   2003-12-31      XX       97.26%           9   Althengstett-Ottenbronn
  00134   4555718.49   5466418.60     785.00   12.76670    49.33330      -9   1979-10-01   1985-12-31      XX      100.00%          10   Althuette_bei_Waldmuenchen
  00135   4524601.36   5644144.53     232.00   12.35000    50.93330      -9   1978-01-01   1991-12-31      XX       97.69%           9   Altkirchen
  00137   4582490.62   5449282.38     825.00   13.13150    49.17620      -9   1978-01-01   1989-09-30      XX      100.00%          10   Altlohberghuette
  00138   4478835.41   5416002.88     430.00   11.71140    48.88210      -9   1951-01-01   1990-06-30      XX      100.00%          10   Altmannstein-Laimerstadt
  00139   4468460.61   5422901.73     530.00   11.56940    48.94370      -9   1951-01-01   2005-09-30      XX      100.00%           9   Altmannstein-Pondorf
  00140   4461270.38   5839240.88      35.00   11.42720    52.68610      -9   1971-01-01   2002-12-31      XX      100.00%           9   Altmersleben
  00142   4449045.92   5363242.80     510.00   11.31170    48.40590      -9   1955-01-01   2015-12-31      XX      100.00%           3   Altomuenster-Maisbrunn
  00143   4440653.04   5362801.79     505.00   11.19840    48.40120      -9   1951-01-01   2005-12-31      XX      100.00%           9   Altomuenster-Wollomoos
  00144   4646210.05   5849978.11       6.00   14.16640    52.76420      -9   1969-01-01   2003-12-31      XX      100.00%           9   Altreetz
  00145   4369200.42   5296960.04     642.00   10.25380    47.79850      -9   1941-01-01   2015-12-31      XX      100.00%           3   Altusried-Krugzell
  00147   4621131.49   5955377.67       9.00   13.83510    53.71710      -9   1969-01-01   2001-12-31      XX       97.98%           9   Altwigshagen
